wall_time,frame,strategy,confidence,near_face,final_detected
1781795466.631,84411,final,0.0,0,0
1781795466.93,84414,final,0.0,0,0
1781795467.197,84417,final,0.0,0,0
1781795467.464,84420,final,0.0,0,0
1781795467.737,84423,final,0.0,0,0
1781795468.002,84426,final,0.0,0,0
1781795468.269,84429,final,0.0,0,0
1781795468.535,84432,final,0.0,0,0
1781795468.803,84435,final,0.0,0,0
1781795469.076,84438,final,0.0,0,0
1781795469.347,84441,final,0.0,0,0
1781795469.615,84444,final,0.0,0,0
1781795469.886,84447,final,0.0,0,0
1781795470.17,84450,final,0.0,0,0
1781795470.447,84453,final,0.0,0,0
1781795470.719,84456,final,0.0,0,0
1781795470.983,84459,final,0.0,0,0
1781795471.259,84462,final,0.0,0,0
1781795471.553,84465,final,0.0,0,0
1781795471.842,84468,final,0.0,0,0
1781795472.114,84471,final,0.0,0,0
1781795472.384,84474,final,0.0,0,0
1781795472.648,84477,final,0.0,0,0
1781795472.92,84480,final,0.0,0,0
1781795473.19,84483,final,0.0,0,0
1781795473.464,84486,final,0.0,0,0
1781795473.727,84489,final,0.0,0,0
1781795474.0,84492,final,0.0,0,0
1781795474.274,84495,final,0.0,0,0
1781795474.541,84498,final,0.0,0,0
1781795474.812,84501,final,0.0,0,0
1781795475.113,84504,final,0.0,0,0
1781795475.408,84507,final,0.0,0,0
1781795475.721,84510,final,0.0,0,0
1781795476.008,84513,final,0.0,0,0
1781795476.35,84516,final,0.0,0,0
1781795476.627,84519,final,0.0,0,0
1781795476.896,84522,final,0.0,0,0
1781795477.175,84525,final,0.0,0,0
1781795477.444,84528,final,0.0,0,0
1781795477.715,84531,final,0.0,0,0
1781795477.986,84534,final,0.0,0,0
1781795478.26,84537,final,0.0,0,0
1781795478.526,84540,final,0.0,0,0
1781795478.798,84543,final,0.0,0,0
1781795479.075,84546,final,0.0,0,0
1781795479.382,84549,final,0.0,0,0
1781795479.668,84552,final,0.0,0,0
1781795479.937,84555,final,0.0,0,0
1781795480.206,84558,final,0.0,0,0
1781795480.473,84561,final,0.0,0,0
1781795480.752,84564,final,0.0,0,0
1781795481.02,84567,final,0.0,0,0
1781795481.294,84570,final,0.0,0,0
1781795481.563,84573,final,0.0,0,0
1781795481.826,84576,final,0.0,0,0
1781795482.096,84579,final,0.0,0,0
1781795482.376,84582,final,0.0,0,0
1781795482.646,84585,final,0.0,0,0
1781795482.965,84588,final,0.0,0,0
1781795483.259,84591,final,0.0,0,0
1781795483.565,84594,final,0.0,0,0
1781795483.866,84597,final,0.0,0,0
1781795484.159,84600,final,0.0,0,0
1781795484.444,84603,final,0.0,0,0
1781795484.738,84606,final,0.0,0,0
1781795485.038,84609,final,0.0,0,0
1781795485.322,84612,final,0.0,0,0
1781795485.614,84615,final,0.0,0,0
1781795485.88,84618,final,0.0,0,0
1781795486.179,84621,final,0.0,0,0
1781795486.452,84624,final,0.0,0,0
1781795486.766,84627,final,0.0,0,0
1781795487.051,84630,final,0.0,0,0
1781795487.319,84633,final,0.0,0,0
1781795487.585,84636,final,0.0,0,0
1781795487.861,84639,final,0.0,0,0
1781795488.15,84642,final,0.0,0,0
1781795488.426,84645,final,0.0,0,0
1781795488.699,84648,final,0.0,0,0
1781795488.979,84651,final,0.0,0,0
1781795489.254,84654,final,0.0,0,0
1781795489.519,84657,final,0.0,0,0
1781795489.783,84660,final,0.0,0,0
1781795490.048,84663,final,0.0,0,0
1781795490.366,84666,final,0.0,0,0
1781795490.695,84669,final,0.0,0,0
1781795490.993,84672,final,0.0,0,0
1781795491.308,84675,final,0.0,0,0
1781795491.602,84678,final,0.0,0,0
1781795491.884,84681,final,0.0,0,0
1781795492.206,84684,final,0.0,0,0
1781795492.474,84687,final,0.0,0,0
1781795492.752,84690,final,0.0,0,0
1781795493.031,84693,final,0.0,0,0
1781795493.298,84696,final,0.0,0,0
1781795493.561,84699,final,0.0,0,0
1781795493.823,84702,final,0.0,0,0
1781795494.092,84705,final,0.0,0,0
1781795494.363,84708,final,0.0,0,0
1781795494.629,84711,final,0.0,0,0
1781795494.928,84714,final,0.0,0,0
1781795495.202,84717,final,0.0,0,0
1781795495.466,84720,final,0.0,0,0
1781795495.743,84723,final,0.0,0,0
1781795496.004,84726,final,0.0,0,0
1781795496.285,84729,final,0.0,0,0
1781795496.549,84732,final,0.0,0,0
1781795496.823,84735,final,0.0,0,0
1781795497.087,84738,final,0.0,0,0
1781795497.351,84741,final,0.0,0,0
1781795497.613,84744,final,0.0,0,0
1781795497.889,84747,final,0.0,0,0
1781795498.153,84750,final,0.0,0,0
1781795498.423,84753,final,0.0,0,0
1781795498.687,84756,final,0.0,0,0
1781795498.958,84759,final,0.0,0,0
1781795499.226,84762,final,0.0,0,0
1781795499.517,84765,final,0.0,0,0
1781795499.828,84768,final,0.0,0,0
1781795500.118,84771,final,0.0,0,0
1781795500.418,84774,final,0.0,0,0
1781795500.695,84777,final,0.0,0,0
1781795501.003,84780,final,0.0,0,0
1781795501.303,84783,final,0.0,0,0
1781795501.573,84786,final,0.0,0,0
1781795501.846,84789,final,0.0,0,0
1781795502.122,84792,final,0.0,0,0
1781795502.395,84795,final,0.0,0,0
1781795502.66,84798,final,0.0,0,0
1781795502.95,84801,final,0.0,0,0
1781795503.222,84804,final,0.0,0,0
1781795503.487,84807,final,0.0,0,0
1781795503.747,84810,final,0.0,0,0
1781795504.012,84813,final,0.0,0,0
1781795504.284,84816,final,0.0,0,0
1781795504.556,84819,final,0.0,0,0
1781795504.822,84822,final,0.0,0,0
1781795505.116,84825,final,0.0,0,0
1781795505.384,84828,final,0.0,0,0
1781795505.653,84831,final,0.0,0,0
1781795505.926,84834,final,0.0,0,0
1781795506.197,84837,final,0.0,0,0
1781795506.469,84840,final,0.0,0,0
1781795506.75,84843,final,0.0,0,0
1781795507.024,84846,final,0.0,0,0
1781795507.299,84849,final,0.0,0,0
1781795507.56,84852,final,0.0,0,0
1781795507.823,84855,final,0.0,0,0
1781795508.089,84858,final,0.0,0,0
1781795508.359,84861,final,0.0,0,0
1781795508.631,84864,final,0.0,0,0
1781795508.898,84867,final,0.0,0,0
1781795509.163,84870,final,0.0,0,0
1781795509.429,84873,final,0.0,0,0
1781795509.696,84876,final,0.0,0,0
1781795509.964,84879,final,0.0,0,0
1781795510.238,84882,final,0.0,0,0
1781795510.502,84885,final,0.0,0,0
1781795510.774,84888,final,0.0,0,0
1781795511.046,84891,final,0.0,0,0
1781795511.31,84894,final,0.0,0,0
1781795511.591,84897,final,0.0,0,0
1781795511.852,84900,final,0.0,0,0
1781795512.126,84903,final,0.0,0,0
1781795512.411,84906,final,0.0,0,0
1781795512.692,84909,final,0.0,0,0
1781795512.962,84912,final,0.0,0,0
1781795513.229,84915,final,0.0,0,0
1781795513.494,84918,final,0.0,0,0
1781795513.76,84921,final,0.0,0,0
1781795514.036,84924,final,0.0,0,0
1781795514.298,84927,final,0.0,0,0
1781795514.587,84930,final,0.0,0,0
1781795514.877,84933,final,0.0,0,0
1781795515.158,84936,final,0.0,0,0
1781795515.428,84939,final,0.0,0,0
1781795515.7,84942,final,0.0,0,0
1781795515.977,84945,final,0.0,0,0
1781795516.27,84948,final,0.0,0,0
1781795516.525,84951,final,0.0,0,0
1781795516.79,84954,final,0.0,0,0
1781795517.082,84957,final,0.0,0,0
1781795517.349,84960,final,0.0,0,0
1781795517.614,84963,final,0.0,0,0
1781795517.884,84966,final,0.0,0,0
1781795518.156,84969,final,0.0,0,0
1781795518.418,84972,final,0.0,0,0
1781795518.679,84975,final,0.0,0,0
1781795518.957,84978,final,0.0,0,0
1781795519.231,84981,final,0.0,0,0
1781795519.5,84984,final,0.0,0,0
1781795519.766,84987,final,0.0,0,0
1781795520.043,84990,final,0.0,0,0
1781795520.303,84993,final,0.0,0,0
1781795520.576,84996,final,0.0,0,0
1781795520.84,84999,final,0.0,0,0
1781795521.113,85002,final,0.0,0,0
1781795521.383,85005,final,0.0,0,0
1781795521.652,85008,final,0.0,0,0
1781795521.923,85011,final,0.0,0,0
1781795522.186,85014,final,0.0,0,0
1781795522.45,85017,final,0.0,0,0
1781795522.714,85020,final,0.0,0,0
1781795522.99,85023,final,0.0,0,0
1781795523.255,85026,final,0.0,0,0
1781795523.52,85029,final,0.0,0,0
1781795523.785,85032,final,0.0,0,0
1781795524.053,85035,final,0.0,0,0
1781795524.313,85038,final,0.0,0,0
1781795524.579,85041,final,0.0,0,0
1781795524.838,85044,final,0.0,0,0
1781795525.115,85047,final,0.0,0,0
1781795525.382,85050,final,0.0,0,0
1781795525.649,85053,final,0.0,0,0
